# Agility shortcuts: loc, op, level, xp, ticks, origin tile, destination tile, requirements.
#
# Tiles, levels and gates come from the shortest-path RuneLite plugin's
# agility_shortcuts.tsv (https://github.com/Skretzo/shortest-path), BSD 2-Clause,
# Copyright (c) 2021 Skretzo. Xp is the wiki's, matched by loc id. Every loc, varbit and varp
# id was resolved to this cache's gameval symbols at generation time, so no raw id is here.
#
# Requirements are ';' separated: another skill (ranged=37), gear (gear=grapple) with the
# Agility level that crosses without it (bare=48), a quest
# (quest=quest_regicide, checked through the realm's quest requirement mode) or a raw var
# comparison (var=varbit.falador_diary_hard_complete>=1).
#
# A shortcut that can be failed carries its odds out of 256, the xp a fail still pays and the
# damage it deals, as low/high/failxp/damage - the wiki's numbers, blank where it cannot fail.
#
# symbol	op	level	xp	ticks	origin	destination	requirements	fail
loc.ds2_corsair_cove_shortcut	Climb	10	1	3	2546,2871,0	2546,2873,0		
loc.ds2_corsair_cove_shortcut	Climb	10	1	3	2546,2873,0	2546,2871,0		
loc.xbows_fai_falador_castle_arches_hillskew	Grapple	11	0	3	3032,3388,0	3032,3389,1	ranged=19;strength=37;gear=grapple	
loc.xbows_fai_falador_castle_walls_hillskew	Grapple	11	0	3	3033,3390,0	3033,3389,1	ranged=19;strength=37;gear=grapple	
loc.lost_tribe_cavewall_hole_walldecor	Squeeze-through	13	0	3	3219,9618,0	3221,9618,0	quest=quest_losttribe	
loc.lost_tribe_cavewall_hole_walldecor	Squeeze-through	13	0	3	3221,9618,0	3219,9618,0	quest=quest_losttribe	
loc.lumbridge_sc_fencejump	Jump-over	13	0	2	3240,3334,0	3240,3335,0		
loc.lumbridge_sc_fencejump	Jump-over	13	0	2	3240,3335,0	3240,3334,0		
loc.burthorpe_diary_shortcut	Manoeuvre-past	14	0	5	2926,3522,0	2928,3520,0	var=varbit.falador_diary_easy_complete=1	
loc.burthorpe_diary_shortcut	Manoeuvre-past	14	0	5	2927,3523,0	2928,3520,0	var=varbit.falador_diary_easy_complete=1	
loc.burthorpe_diary_shortcut	Manoeuvre-past	14	0	5	2928,3520,0	2927,3523,0	var=varbit.falador_diary_easy_complete=1	
loc.ds2_ogre_corsair_dungeon_shortcut	Jump-to	15	2	5	1981,8994,1	1981,8998,1	var=varbit.corsair_cove_resource_entry=1	
loc.ds2_ogre_corsair_dungeon_shortcut	Jump-to	15	2	5	1981,8998,1	1981,8994,1	var=varbit.corsair_cove_resource_entry=1	
loc.ds2_ogre_corsair_dungeon_shortcut	Jump-to	15	2	6	1981,8999,1	1981,8994,1	var=varbit.corsair_cove_resource_entry=1	
loc.troll_climbingrocks	Climb	15	0	3	2820,3635,0	2822,3635,0	gear=boots	
loc.troll_climbingrocks	Climb	15	0	3	2856,3611,0	2856,3613,0	gear=boots	
loc.troll_climbingrocks	Climb	15	0	3	2857,3611,0	2857,3613,0	gear=boots	
loc.zqclimbingrocks	Climb	15	0	5	2791,2978,0	2795,2978,0		
loc.zqclimbingrocks	Climb	15	0	5	2791,2979,0	2795,2979,0		
loc.zqclimbingrocks	Climb	15	0	5	2791,2980,0	2795,2980,0		
loc.zqclimbingrocks	Climb	15	0	5	2795,2978,0	2791,2978,0		
loc.zqclimbingrocks	Climb	15	0	5	2795,2979,0	2791,2979,0		
loc.zqclimbingrocks	Climb	15	0	5	2795,2980,0	2791,2980,0		
loc.yanille_castlehole_sc	Climb-into	16	0	3	2575,3112,0	2575,3107,0		
loc.zeah_cata_crack	Squeeze-through	17	0	3	1645,10000,0	1647,10010,0		
loc.zeah_cata_crack	Squeeze-through	17	0	3	1647,10010,0	1645,10000,0		
loc.dugupsoil_slayer_2	Climb-through	18	0	4	3442,3531,0	3444,3533,0		
loc.dugupsoil_slayer_2	Climb-through	18	0	4	3444,3533,0	3442,3531,0		
loc.gargboss_healsphere_med	Climb	18	0	4	1687,9801,0	1689,9801,0		
loc.gargboss_healsphere_med	Climb	18	0	4	1689,9801,0	1687,9801,0		
loc.hosidiusquest_stone	Cross	18	0	8	1702,9800,0	1708,9800,0		
loc.hosidiusquest_stone	Cross	18	0	8	1708,9800,0	1702,9800,0		
loc.qip_watchtower_trellis_base	Climb-up	18	0	3	2548,3119,0	2548,3117,1		
loc.slayertower_window_shortcut_through	Climb-through	18	3	4	3442,3531,0	3444,3533,0		
loc.slayertower_window_shortcut_through	Climb-through	18	3	4	3444,3533,0	3442,3531,0		
loc.mine_log_balance1	Walk-across	20	8.5	3	2598,3477,0	2603,3477,0		
loc.mine_log_balance1	Walk-across	20	8.5	3	2599,3476,0	2603,3477,0		
loc.mine_log_balance1	Walk-across	20	8.5	3	2599,3478,0	2603,3477,0		
loc.mine_log_balance1	Walk-across	20	8.5	3	2602,3476,0	2598,3477,0		
loc.mine_log_balance1	Walk-across	20	8.5	3	2602,3478,0	2598,3477,0		
loc.mine_log_balance1	Walk-across	20	8.5	3	2603,3477,0	2598,3477,0		
loc.varrock_sc_tunnel_east	Climb-into	21	0	7	3142,3513,0	3137,3516,0		
loc.varrock_sc_tunnel_west	Climb-into	21	0	7	3137,3516,0	3142,3513,0		
loc.xbows_rock_grappled	Grapple	23	0	3	2449,3155,0	2444,3165,0	ranged=24;strength=28;var=varbit.observatory_shortcut_rope=1	
loc.xbows_rope_diagonal_obs	Climb	23	0	5	2449,3155,0	2444,3165,0	ranged=24;strength=28	
loc.av_lowwall_climb_1	Climb-over	24	6	2	1369,3294,0	1369,3296,0		
loc.av_lowwall_climb_1	Climb-over	24	6	2	1369,3296,0	1369,3294,0		
loc.av_lowwall_climb_1	Climb-over	24	6	2	1387,3301,0	1387,3303,0		
loc.av_lowwall_climb_1	Climb-over	24	6	2	1387,3303,0	1387,3301,0		
loc.av_lowwall_climb_2	Climb-over	24	6	2	1389,3309,0	1391,3309,0		
loc.av_lowwall_climb_2	Climb-over	24	6	2	1391,3309,0	1389,3309,0		
loc.ep_climbing_rocks01	Climb	25	1	6	2322,3502,0	2324,3497,0		
loc.ep_climbing_rocks01	Climb	25	1	6	2324,3497,0	2322,3502,0		
loc.falador_sc_castlewall_north	Climb-into	26	0	3	2948,3313,0	2948,3309,0		
loc.falador_sc_castlewall_south	Climb-into	26	0	3	2948,3309,0	2948,3313,0		
loc.zeah_cata_stepstone	Jump-to	28	2	3	1609,10061,0	1613,10070,0		
loc.zeah_cata_stepstone	Jump-to	28	2	3	1613,10070,0	1609,10061,0		
loc.mount_karuulm_shortcut_rocks_low	Climb	29	0	8	1324,3777,0	1324,3785,0		
loc.mount_karuulm_shortcut_rocks_low	Climb	29	0	8	1324,3785,0	1324,3777,0		
loc.ds2_corsair_shortcut_bottom	Climb-down	30	2	3	2489,2898,0	2485,2898,0	quest=quest_dragonslayer1	
loc.ds2_corsair_shortcut_top	Climb-down	30	2	3	2485,2898,0	2489,2898,0	quest=quest_dragonslayer1	
loc.zqrockjump1	Cross	30	3	2	2925,2949,0	2925,2950,0		50/253/1/
loc.zqrockjump1	Cross	30	3	2	2925,2951,0	2925,2950,0		50/253/1/
loc.zqrockjump2	Cross	30	3	2	2925,2948,0	2925,2949,0		50/253/1/
loc.zqrockjump2	Cross	30	3	2	2925,2950,0	2925,2949,0		50/253/1/
loc.zqrockjump3	Cross	30	3	2	2925,2947,0	2925,2948,0		50/253/1/
loc.zqrockjump3	Cross	30	3	2	2925,2949,0	2925,2948,0		50/253/1/
loc.lumbridge_sc_stepstone	Jump-onto	31	3	4	3149,3363,0	3150,3363,0		
loc.lumbridge_sc_stepstone	Jump-onto	31	3	4	3150,3363,0	3151,3363,0		
loc.lumbridge_sc_stepstone	Jump-onto	31	3	4	3151,3363,0	3152,3363,0		
loc.lumbridge_sc_stepstone	Jump-onto	31	3	4	3152,3363,0	3153,3363,0		
loc.lumbridge_sc_stepstone	Jump-onto	31	3	4	3153,3363,0	3152,3363,0		
loc.lumbridge_sc_stepstone	Jump-onto	31	3	4	3154,3363,0	3153,3363,0		
loc.shilo_river_steppingstone	Cross	32	0	2	2863,2971,0	2863,2976,0		
loc.shilo_river_steppingstone	Cross	32	0	2	2863,2976,0	2863,2971,0		
loc.xbows_rock_hilltop_basic	Grapple	32	0	3	2866,3428,0	2869,3428,0	ranged=35;strength=35;gear=grapple;bare=68	
loc.ardougne_log_balance_left_sc	Walk-across	33	4	3	2598,3336,0	2602,3336,0		90/250/2/2-6
loc.ardougne_log_balance_left_sc	Walk-across	33	4	3	2599,3337,0	2602,3336,0		90/250/2/2-6
loc.ardougne_log_balance_right_sc	Walk-across	33	4	3	2602,3336,0	2598,3336,0		90/250/2/2-6
loc.av_tunnel_1	Climb-into	33	7.5	5	1368,3323,0	1368,3327,0		
loc.av_tunnel_1	Climb-into	33	7.5	5	1368,3327,0	1368,3323,0		
loc.zeah_cata_crack	Squeeze-through	34	0	2	1706,10078,0	1716,10056,0		
loc.zeah_cata_crack	Squeeze-through	34	0	2	1716,10056,0	1706,10078,0		
loc.agility_obstical_pipe_barbarian	Squeeze-through	35	0	5	2552,3558,0	2552,3561,0		
loc.agility_obstical_pipe_barbarian	Squeeze-through	35	0	5	2552,3561,0	2552,3558,0		
loc.garden_trellis_concave_shortcut	Climb	35	0	5	3228,3470,0	3228,3471,0		
loc.av_stepstone_1	Cross	36	0	7	1393,3309,0	1399,3309,0		
loc.av_stepstone_1	Cross	36	0	7	1399,3309,0	1393,3309,0		
loc.xbows_beach_to_island_tree_basic	Grapple	36	0	3	2841,3427,0	2841,3433,0	ranged=39;strength=22;gear=grapple;bare=72	
loc.gnome_stronghold_sc_rock_bottom	Climb	37	0	9	2489,3521,0	2486,3515,0	quest=quest_grandtree	
loc.gnome_stronghold_sc_rock_top	Climb	37	0	9	2486,3515,0	2489,3521,0	quest=quest_grandtree	
loc.alkharid_mine_sc_bottom	Climb	38	0	3	3302,3315,0	3306,3315,0		
loc.alkharid_mine_sc_top	Climb	38	0	3	3306,3315,0	3302,3315,0		
loc.xbows_yanille_castlewall	Grapple	39	0	3	2556,3072,0	2556,3073,1	ranged=21;strength=38;gear=grapple	
loc.xbows_yanille_castlewall	Grapple	39	0	3	2556,3075,0	2556,3074,1	ranged=21;strength=38;gear=grapple	
loc.balancing_ledge3	Walk-across	40	0	9	2580,9512,0	2580,9520,0		
loc.balancing_ledge3	Walk-across	40	0	9	2580,9520,0	2580,9512,0		
loc.obstical_pipe4	Squeeze-through	40	0	10	2578,9506,0	2572,9506,0		
loc.tlati_north_river_log_balance_1	Walk-across	40	0	10	1283,3138,0	1283,3147,0		
loc.tlati_north_river_log_balance_1	Walk-across	40	0	10	1283,3147,0	1283,3138,0		
loc.zeah_lake_shortcut_hosidius	Cross	40	0	2	1610,3570,0	1614,3570,0		
loc.zeah_lake_shortcut_hosidius	Cross	40	0	2	1614,3570,0	1610,3570,0		
loc.zeah_lake_shortcut_shayzien	Cross	40	0	2	1603,3571,0	1607,3571,0		
loc.zeah_lake_shortcut_shayzien	Cross	40	0	2	1607,3571,0	1603,3571,0		
loc.asc_troll_mountain_climbrock_1	Climb	41	0	3	2869,3671,0	2872,3671,0		170/253/0/
loc.asc_troll_mountain_climbrock_1	Climb	41	0	3	2872,3671,0	2869,3671,0		170/253/0/
loc.av_scramble_1	Climb	41	9.5	6	1391,3323,0	1396,3323,0		
loc.av_scramble_1	Climb	41	9.5	6	1396,3323,0	1391,3323,0		
loc.draynor_diary_under_wall_e	Climb-into	42	0	3	3070,3257,0	3066,3257,0		
loc.draynor_diary_under_wall_w	Climb-into	42	0	3	3066,3257,0	3070,3257,0		
loc.dwarf_mines_sc_wall_crack	Squeeze-through	42	0	3	3028,9806,0	3035,9806,0		
loc.dwarf_mines_sc_wall_crack	Squeeze-through	42	0	3	3035,9806,0	3028,9806,0		
loc.asc_troll_mountain_climbrock_2	Climb	43	0	3	2877,3666,0	2878,3668,0		170/253/0/
loc.asc_troll_mountain_climbrock_2	Climb	43	0	3	2878,3665,0	2878,3668,0		170/253/0/
loc.asc_troll_mountain_climbrock_2	Climb	43	0	3	2878,3668,0	2878,3665,0		170/253/0/
loc.asc_troll_mountain_climbrock_2	Climb	43	0	3	2879,3667,0	2878,3665,0		170/253/0/
loc.tlati_tree_area_shortcut_top	Climb	43	0	4	1270,3002,0	1274,3002,0		
loc.tlati_tree_area_shortcut_top	Climb	43	0	4	1274,3002,0	1270,3002,0		
loc.troll_mountain_shortcut_climbingrocks1	Climb	43	0	3	2884,3683,0	2886,3683,0		
loc.troll_mountain_shortcut_climbingrocks1	Climb	43	0	3	2886,3683,0	2884,3683,0		
loc.troll_mountain_shortcut_climbingrocks2	Climb	43	0	3	2884,3684,0	2886,3684,0		
loc.troll_mountain_shortcut_climbingrocks2	Climb	43	0	3	2886,3684,0	2884,3684,0		
loc.asc_troll_mountain_climbrock_3	Climb	44	0	3	2907,3682,0	2909,3684,0		170/253/0/
loc.asc_troll_mountain_climbrock_3	Climb	44	0	3	2909,3684,0	2907,3682,0		170/253/0/
loc.av_balance_1	Walk-across	45	0	9	1401,3283,0	1401,3291,0		
loc.av_balance_1	Walk-across	45	0	9	1401,3291,0	1401,3283,0		
loc.av_balance_2	Walk-across	45	19.5	8	1453,3329,0	1453,3336,0		
loc.av_balance_2	Walk-across	45	19.5	8	1453,3336,0	1453,3329,0		
loc.proudspire_climbing_rocks_dark01_op	Climb	45	0	3	1586,3261,0	1591,3257,0		
loc.proudspire_climbing_rocks_dark01_op	Climb	45	0	3	1587,3262,0	1591,3257,0		
loc.proudspire_climbing_rocks_dark01_op	Climb	45	0	8	1590,3257,0	1586,3262,0		
loc.proudspire_climbing_rocks_dark01_op	Climb	45	0	8	1591,3258,0	1586,3262,0		
loc.regicide_logbalance1_start	Cross	45	0	8	2196,3237,0	2202,3237,0		
loc.regicide_logbalance1_start	Cross	45	0	8	2202,3237,0	2196,3237,0		
loc.regicide_logbalance2_start	Cross	45	0	8	2258,3250,0	2264,3250,0		
loc.regicide_logbalance2_start	Cross	45	0	8	2264,3250,0	2258,3250,0		
loc.regicide_logbalance3_start	Cross	45	0	9	2290,3232,0	2290,3239,0		
loc.regicide_logbalance3_start	Cross	45	0	9	2290,3239,0	2290,3232,0		
loc.zeah_saltpetre_shortcut	Cross	45	0	2	1720,3551,0	1724,3551,0		
loc.zeah_saltpetre_shortcut	Cross	45	0	2	1724,3551,0	1720,3551,0		
loc.fairy_sc_juttingwall	Squeeze-past	46	0	2	2400,4402,0	2400,4404,0		
loc.fairy_sc_juttingwall	Squeeze-past	46	0	2	2400,4404,0	2400,4402,0		
loc.asc_troll_mountain_climbrock_4	Climb	47	8	3	2900,3680,0	2903,3680,0		170/253/0/
loc.asc_troll_mountain_climbrock_4	Climb	47	8	3	2901,3679,0	2903,3680,0		170/253/0/
loc.asc_troll_mountain_climbrock_4	Climb	47	8	3	2902,3681,0	2900,3680,0		170/253/0/
loc.asc_troll_mountain_climbrock_4	Climb	47	8	3	2903,3680,0	2900,3680,0		170/253/0/
loc.ralos_rise_sc	Climb	47	0	8	1455,3128,0	1465,3128,0		
loc.ralos_rise_sc	Climb	47	0	8	1465,3128,0	1455,3128,0		
loc.snakeboss_crate	Cross	47	0	5	2449,3155,0	2444,3165,0	quest=quest_regicide	
loc.slayer_river_sc_logbalance_1	Walk-across	48	4	4	2722,3596,0	2722,3592,0		140/255/0/
loc.slayer_river_sc_logbalance_3	Walk-across	48	4	4	2722,3592,0	2722,3596,0		140/255/0/
loc.archeuus_runestone_shortcut_boulder	Jump	49	0	4	1776,3884,0	1776,3880,0		
loc.crumbled_wall	Jump-over	50	0	3	2789,9296,0	2790,9295,0	quest=quest_legends	
loc.crumbled_wall	Jump-over	50	0	3	2790,9295,0	2789,9296,0	quest=quest_legends	
loc.fairy_island_nature_grotto_shortcut	Cross	50	0	3	3417,3325,0	3422,3325,0		
loc.fairy_island_nature_grotto_shortcut	Cross	50	0	3	3422,3325,0	3417,3325,0		
loc.great_conch_cliff_shortcut_town_bottom	Climb	50	0	3	3180,2432,0	3180,2434,0		
loc.great_conch_cliff_shortcut_town_top	Climb	50	0	3	3180,2434,0	3180,2432,0		
loc.varrock_dungeon_pipe_sc	Squeeze-through	51	10	3	3149,9906,0	3155,9906,0		
loc.varrock_dungeon_pipe_sc	Squeeze-through	51	10	3	3150,9905,0	3155,9906,0		
loc.varrock_dungeon_pipe_sc	Squeeze-through	51	10	3	3150,9907,0	3155,9906,0		
loc.varrock_dungeon_pipe_sc	Squeeze-through	51	10	3	3154,9905,0	3149,9906,0		
loc.varrock_dungeon_pipe_sc	Squeeze-through	51	10	3	3154,9907,0	3149,9906,0		
loc.varrock_dungeon_pipe_sc	Squeeze-through	51	10	3	3155,9906,0	3149,9906,0		
loc.archeuus_runestone_shortcut_midgrey_bottom	Climb	52	0	3	1769,3849,0	1774,3849,0		
loc.archeuus_runestone_shortcut_midgrey_bottom	Climb	52	0	3	1774,3849,0	1769,3849,0		
loc.xbows_jungletree_karamja_basic	Grapple	53	0	3	2874,3127,0	2874,3133,0	ranged=42;strength=21;gear=grapple;bare=78	
loc.xbows_jungletree_karamja_basic	Grapple	53	0	3	2874,3133,0	2874,3127,0	ranged=42;strength=21;gear=grapple;bare=78	
loc.xbows_jungletree_karamja_basic	Grapple	53	0	3	2874,3136,0	2874,3142,0	ranged=42;strength=21;gear=grapple;bare=78	
loc.xbows_jungletree_karamja_basic	Grapple	53	0	3	2874,3142,0	2874,3136,0	ranged=42;strength=21;gear=grapple;bare=78	
loc.aldarin_cliff_shortcut_bottom	Climb	54	0	4	1338,2917,0	1343,2917,0		
loc.aldarin_cliff_shortcut_bottom	Climb	54	0	4	1343,2917,0	1338,2917,0		
loc.misc_diary_steppingstone	Cross	55	0	3	2573,3859,0	2575,3861,0		
loc.misc_diary_steppingstone	Cross	55	0	3	2575,3861,0	2573,3859,0		
loc.karamja_dungeon_stepping_stone_end	Cross	56	0	4	2682,9548,0	2690,9547,0		
loc.karamja_dungeon_stepping_stone_end	Cross	56	0	4	2697,9525,0	2695,9533,0		
loc.viking_pike_defence_broken	Jump	57	0	3	2688,3697,0	2691,3697,0		
loc.viking_pike_defence_broken	Jump	57	0	3	2691,3697,0	2688,3697,0		
loc.elves_overpass_sc_rocks_bottom	Climb	59	0	6	2346,3300,0	2344,3294,0		
loc.elves_overpass_sc_rocks_top	Climb	59	0	8	2344,3294,0	2346,3300,0		
loc.godwars_climbing_rocks_down	Climb	60	0	3	2927,3761,0	2928,3757,0		
loc.godwars_climbing_rocks_up	Climb	60	0	3	2927,3758,0	2927,3761,0		
loc.godwars_climbing_rocks_up	Climb	60	0	3	2928,3757,0	2927,3761,0		
loc.godwars_climbing_rocks_up	Climb	60	0	3	2929,3758,0	2927,3761,0		
loc.mos_les_stepping_stone	Jump-to	60	0	3	3708,2969,0	3714,2969,0		
loc.mos_les_stepping_stone	Jump-to	60	0	3	3714,2969,0	3708,2969,0		
loc.slayer_dungeon_2_sc_wall_crack	Squeeze-through	61	0	3	2730,10008,0	2735,10008,0		
loc.slayer_dungeon_2_sc_wall_crack	Squeeze-through	61	0	3	2735,10008,0	2730,10008,0		
loc.slayertower_sc_chainbottom	Climb-up	61	0	3	3421,3550,0	3421,3550,1		
loc.slayertower_sc_chainbottom	Climb-up	61	0	3	3422,3549,0	3422,3549,1		
loc.slayertower_sc_chainbottom	Climb-up	61	0	3	3422,3551,0	3422,3551,1		
loc.slayertower_sc_chainbottom	Climb-up	61	0	3	3423,3550,0	3423,3550,1		
loc.slayertower_sc_chaintop	Climb-down	61	0	3	3421,3550,1	3421,3550,0		
loc.slayertower_sc_chaintop	Climb-down	61	0	3	3422,3549,1	3422,3549,0		
loc.slayertower_sc_chaintop	Climb-down	61	0	3	3422,3551,1	3422,3551,0		
loc.slayertower_sc_chaintop	Climb-down	61	0	3	3423,3550,1	3423,3550,0		
loc.mount_karuulm_shortcut_rocks	Climb	62	0	8	1324,3787,0	1324,3795,0		
loc.mount_karuulm_shortcut_rocks	Climb	62	0	8	1324,3795,0	1324,3787,0		
loc.necropolis_stepping_stone_1	Cross	62	0	3	3289,2700,0	3295,2700,0		
loc.necropolis_stepping_stone_1	Cross	62	0	3	3295,2700,0	3289,2700,0		
loc.necropolis_stepping_stone_2	Cross	62	0	3	3295,2704,0	3295,2708,0		
loc.necropolis_stepping_stone_2	Cross	62	0	3	3295,2708,0	3295,2704,0		
loc.darkm_outer_wall_2h_shortcut	Climb	63	0	3	3667,3375,0	3670,3375,0	var=varbit.darkm_shortcut_inner=1	
loc.darkm_outer_wall_2h_shortcut	Climb	63	0	3	3670,3375,0	3667,3375,0	var=varbit.darkm_shortcut_inner=1	
loc.darkm_outer_wall_3h_shortcut	Climb	63	0	3	3670,3375,0	3673,3375,0	var=varbit.darkm_shortcut_outer=1	
loc.darkm_outer_wall_3h_shortcut	Climb	63	0	3	3672,3374,0	3670,3375,0	var=varbit.darkm_shortcut_outer=1	
loc.darkm_outer_wall_3h_shortcut	Climb	63	0	3	3672,3376,0	3670,3375,0	var=varbit.darkm_shortcut_outer=1	
loc.darkm_outer_wall_3h_shortcut	Climb	63	0	3	3673,3375,0	3670,3375,0	var=varbit.darkm_shortcut_outer=1	
loc.deepdungeonlooserailing	Squeeze-through	63	0	3	2935,9810,0	2936,9810,0		
loc.deepdungeonlooserailing	Squeeze-through	63	0	3	2936,9810,0	2935,9810,0		
loc.hosdun_agility_shortcut	Jump-over	63	10	2	1820,9945,0	1820,9947,0		
loc.hosdun_agility_shortcut	Jump-over	63	10	2	1820,9947,0	1820,9945,0		
loc.priestperil_tomb_cornerl	Jump-over	63	0	4	1820,9944,0	1820,9946,0		
loc.priestperil_tomb_cornerl	Jump-over	63	0	4	1820,9946,0	1820,9944,0		
loc.fossil_volcano_agility_rope_bottom	Climb	64	0	6	3778,3821,0	3784,3821,0		
loc.fossil_volcano_agility_rope_top	Climb	64	0	6	3784,3821,0	3778,3821,0		
loc.trollheim_wildy_climb_rocks	Climb	64	0	3	2915,3672,0	2918,3672,0		
loc.trollheim_wildy_climb_rocks	Climb	64	0	3	2918,3672,0	2915,3672,0		
loc.trollheim_wildy_climb_rocks	Climb	64	0	3	2921,3672,0	2924,3673,0		
loc.trollheim_wildy_climb_rocks	Climb	64	0	3	2924,3673,0	2921,3672,0		
