ingame_name,npc_id,npc_id_expanded,x,y,plane,region,is_attackable?,wiki_version,,
Zombie,2508,2508,1994,5235,0,region_misthalin,1,Zombie#Level 53,,"|x:1994,y:5235"
Zombie,2508,2508,1995,5240,0,region_misthalin,1,Zombie#Level 53,,"|x:1995,y:5240"
Zombie,2507,2507,2008,5190,0,region_misthalin,1,Zombie#Level 53,,"|x:2008,y:5190"
Zombie,2508,2508,2012,5189,0,region_misthalin,1,Zombie#Level 53,,"|x:2012,y:5189"
Zombie,2507,2507,2014,5187,0,region_misthalin,1,Zombie#Level 53,,"|x:2014,y:5187"
Zombie,2508,2508,2016,5193,0,region_misthalin,1,Zombie#Level 53,,"|x:2016,y:5193"
Zombie,2509,2509,2018,5186,0,region_misthalin,1,Zombie#Level 53,,"|x:2018,y:5186"
Zombie,2508,2508,2022,5186,0,region_misthalin,1,Zombie#Level 53,,"|x:2022,y:5186"
Zombie,2507,2507,2023,5193,0,region_misthalin,1,Zombie#Level 53,,"|x:2023,y:5193"
Zombie,2507,2507,2025,5189,0,region_misthalin,1,Zombie#Level 53,,"|x:2025,y:5189"
Zombie,2509,2509,2027,5186,0,region_misthalin,1,Zombie#Level 53,,"|x:2027,y:5186"
Zombie,2509,2509,2029,5191,0,region_misthalin,1,Zombie#Level 53,,"|x:2029,y:5191"
Zombie,2508,2508,2031,5194,0,region_misthalin,1,Zombie#Level 53,,"|x:2031,y:5194"
Zombie,2505,2505,1988,5188,0,region_misthalin,1,Zombie#Level 44,,"|x:1988,y:5188"
Zombie,2504,2504,1988,5192,0,region_misthalin,1,Zombie#Level 44,,"|x:1988,y:5192"
Zombie,2506,2506,1989,5187,0,region_misthalin,1,Zombie#Level 44,,"|x:1989,y:5187"
Zombie,2504,2504,1990,5188,0,region_misthalin,1,Zombie#Level 44,,"|x:1990,y:5188"
Zombie,2505,2505,1992,5192,0,region_misthalin,1,Zombie#Level 44,,"|x:1992,y:5192"
Zombie,2504,2504,1993,5190,0,region_misthalin,1,Zombie#Level 44,,"|x:1993,y:5190"
Zombie,2506,2506,1993,5192,0,region_misthalin,1,Zombie#Level 44,,"|x:1993,y:5192"
Zombie,2506,2506,1995,5189,0,region_misthalin,1,Zombie#Level 44,,"|x:1995,y:5189"
Zombie,2505,2505,1995,5192,0,region_misthalin,1,Zombie#Level 44,,"|x:1995,y:5192"
Zombie,2504,2504,2003,5200,0,region_misthalin,1,Zombie#Level 44,,"|x:2003,y:5200"
Zombie,2505,2505,2004,5200,0,region_misthalin,1,Zombie#Level 44,,"|x:2004,y:5200"
Zombie,2504,2504,2005,5201,0,region_misthalin,1,Zombie#Level 44,,"|x:2005,y:5201"
Zombie,2505,2505,2005,5206,0,region_misthalin,1,Zombie#Level 44,,"|x:2005,y:5206"
Zombie,2504,2504,2007,5209,0,region_misthalin,1,Zombie#Level 44,,"|x:2007,y:5209"
Zombie,2505,2505,2009,5200,0,region_misthalin,1,Zombie#Level 44,,"|x:2009,y:5200"
Zombie,2506,2506,2009,5205,0,region_misthalin,1,Zombie#Level 44,,"|x:2009,y:5205"
Zombie,2504,2504,2039,5212,0,region_misthalin,1,Zombie#Level 44,,"|x:2039,y:5212"
Zombie,2504,2504,2039,5215,0,region_misthalin,1,Zombie#Level 44,,"|x:2039,y:5215"
Zombie,2504,2504,2039,5218,0,region_misthalin,1,Zombie#Level 44,,"|x:2039,y:5218"
Zombie,2504,2504,2040,5213,0,region_misthalin,1,Zombie#Level 44,,"|x:2040,y:5213"
Zombie,2504,2504,2041,5218,0,region_misthalin,1,Zombie#Level 44,,"|x:2041,y:5218"
Zombie,2504,2504,2042,5213,0,region_misthalin,1,Zombie#Level 44,,"|x:2042,y:5213"
Zombie,2504,2504,2042,5215,0,region_misthalin,1,Zombie#Level 44,,"|x:2042,y:5215"
Zombie,2504,2504,2043,5215,0,region_misthalin,1,Zombie#Level 44,,"|x:2043,y:5215"
Zombie,2504,2504,2043,5217,0,region_misthalin,1,Zombie#Level 44,,"|x:2043,y:5217"
Zombie,2503,2503,2026,5234,0,region_misthalin,1,Zombie#Level 30,,"|x:2026,y:5234"
Zombie,2501,2501,2026,5236,0,region_misthalin,1,Zombie#Level 30,,"|x:2026,y:5236"
Zombie,2501,2501,2028,5234,0,region_misthalin,1,Zombie#Level 30,,"|x:2028,y:5234"
Zombie,2501,2501,2029,5231,0,region_misthalin,1,Zombie#Level 30,,"|x:2029,y:5231"
Zombie,2502,2502,2029,5236,0,region_misthalin,1,Zombie#Level 30,,"|x:2029,y:5236"
Zombie,2502,2502,2031,5230,0,region_misthalin,1,Zombie#Level 30,,"|x:2031,y:5230"
Zombie,2503,2503,2031,5233,0,region_misthalin,1,Zombie#Level 30,,"|x:2031,y:5233"
Zombie,2502,2502,2031,5235,0,region_misthalin,1,Zombie#Level 30,,"|x:2031,y:5235"
Zombie,2501,2501,2033,5233,0,region_misthalin,1,Zombie#Level 30,,"|x:2033,y:5233"
Zombie,50,50,2542,9840,0,region_kandarin,1,Zombie#Level 24,,"|x:2542,y:9840"
Zombie,51,51,2546,9842,0,region_kandarin,1,Zombie#Level 24,,"|x:2546,y:9842"
Zombie,49,49,2583,9493,0,region_kandarin,1,Zombie#Level 24,,"|x:2583,y:9493"
Zombie,50,50,2584,9491,0,region_kandarin,1,Zombie#Level 24,,"|x:2584,y:9491"
Zombie,51,51,2587,9492,0,region_kandarin,1,Zombie#Level 24,,"|x:2587,y:9492"
Zombie,51,51,2590,9491,0,region_kandarin,1,Zombie#Level 24,,"|x:2590,y:9491"
Zombie,49,49,2590,9493,0,region_kandarin,1,Zombie#Level 24,,"|x:2590,y:9493"
Zombie,50,50,2591,9492,0,region_kandarin,1,Zombie#Level 24,,"|x:2591,y:9492"
Zombie,50,50,2593,9491,0,region_kandarin,1,Zombie#Level 24,,"|x:2593,y:9491"
Zombie,49,49,2593,9492,0,region_kandarin,1,Zombie#Level 24,,"|x:2593,y:9492"
Zombie,56,56,3119,9862,0,region_misthalin,1,Zombie#Level 24,,"|x:3119,y:9862"
Zombie,55,55,3124,9861,0,region_misthalin,1,Zombie#Level 24,,"|x:3124,y:9861"
Zombie,57,57,3126,9865,0,region_misthalin,1,Zombie#Level 24,,"|x:3126,y:9865"
Zombie,58,58,3130,9860,0,region_misthalin,1,Zombie#Level 24,,"|x:3130,y:9860"
Zombie,49,49,2455,9680,0,region_tirannwn,1,Zombie#Level 24,,"|x:2455,y:9680"
Zombie,49,49,2396,9710,0,region_tirannwn,1,Zombie#Level 24,,"|x:2396,y:9710"
Zombie,51,51,2397,9702,0,region_tirannwn,1,Zombie#Level 24,,"|x:2397,y:9702"
Zombie,50,50,2398,9707,0,region_tirannwn,1,Zombie#Level 24,,"|x:2398,y:9707"
Zombie,51,51,2399,9712,0,region_tirannwn,1,Zombie#Level 24,,"|x:2399,y:9712"
Zombie,50,50,2401,9714,0,region_tirannwn,1,Zombie#Level 24,,"|x:2401,y:9714"
Zombie,51,51,2406,9709,0,region_tirannwn,1,Zombie#Level 24,,"|x:2406,y:9709"
Zombie,49,49,2407,9702,0,region_tirannwn,1,Zombie#Level 24,,"|x:2407,y:9702"
Zombie,49,49,2408,9712,0,region_tirannwn,1,Zombie#Level 24,,"|x:2408,y:9712"
Zombie,50,50,2409,9704,0,region_tirannwn,1,Zombie#Level 24,,"|x:2409,y:9704"
Zombie,60,60,3153,3676,0,region_wilderness,1,Zombie#Level 24,,"|x:3153,y:3676"
Zombie,62,62,3161,3679,0,region_wilderness,1,Zombie#Level 24,,"|x:3161,y:3679"
Zombie,61,61,3162,3665,0,region_wilderness,1,Zombie#Level 24,,"|x:3162,y:3665"
Zombie,59,59,3163,3685,0,region_wilderness,1,Zombie#Level 24,,"|x:3163,y:3685"
Zombie,63,63,3168,3668,0,region_wilderness,1,Zombie#Level 24,,"|x:3168,y:3668"
Zombie,61,61,3169,3680,0,region_wilderness,1,Zombie#Level 24,,"|x:3169,y:3680"
Zombie,52,52,2497,3292,0,region_kandarin,1,Zombie#Level 24,,"|x:2497,y:3292"
Zombie,54,54,2511,3287,0,region_kandarin,1,Zombie#Level 24,,"|x:2511,y:3287"
Zombie,51,51,2675,9680,0,region_kandarin,1,Zombie#Level 24,,"|x:2675,y:9680"
Zombie,50,50,2676,9684,0,region_kandarin,1,Zombie#Level 24,,"|x:2676,y:9684"
Zombie,49,49,2676,9687,0,region_kandarin,1,Zombie#Level 24,,"|x:2676,y:9687"
Zombie,57,57,3122,9658,0,region_misthalin,1,Zombie#Level 24,,"|x:3122,y:9658"
Zombie,55,55,3124,9662,0,region_misthalin,1,Zombie#Level 24,,"|x:3124,y:9662"
Zombie,55,55,3224,9906,0,region_misthalin,1,Zombie#Level 24,,"|x:3224,y:9906"
Zombie,56,56,3226,9903,0,region_misthalin,1,Zombie#Level 24,,"|x:3226,y:9903"
Zombie,58,58,3230,9903,0,region_misthalin,1,Zombie#Level 24,,"|x:3230,y:9903"
Zombie,57,57,3230,9906,0,region_misthalin,1,Zombie#Level 24,,"|x:3230,y:9906"
Zombie,49,49,2603,4446,0,region_kandarin,1,Zombie#Level 24,,"|x:2603,y:4446"
Zombie,56,56,3088,9672,0,region_misthalin,1,Zombie#Level 24,,"|x:3088,y:9672"
Zombie,58,58,3096,9672,0,region_misthalin,1,Zombie#Level 24,,"|x:3096,y:9672"
Zombie,49,49,2539,9566,0,region_kandarin,1,Zombie#Level 24,,"|x:2539,y:9566"
Zombie,6598,6598,3145,3742,0,region_wilderness,1,Zombie#Level 18,,"|x:3145,y:3742"
Zombie,6597,6597,3146,3734,0,region_wilderness,1,Zombie#Level 18,,"|x:3146,y:3734"
Zombie,6596,6596,3149,3725,0,region_wilderness,1,Zombie#Level 18,,"|x:3149,y:3725"
Zombie,6597,6597,3153,3729,0,region_wilderness,1,Zombie#Level 18,,"|x:3153,y:3729"
Zombie,6596,6596,3153,3740,0,region_wilderness,1,Zombie#Level 18,,"|x:3153,y:3740"
Zombie,6598,6598,3156,3731,0,region_wilderness,1,Zombie#Level 18,,"|x:3156,y:3731"
Zombie,6596,6596,3158,3746,0,region_wilderness,1,Zombie#Level 18,,"|x:3158,y:3746"
Zombie,6598,6598,3159,3723,0,region_wilderness,1,Zombie#Level 18,,"|x:3159,y:3723"
Zombie,6597,6597,3163,3726,0,region_wilderness,1,Zombie#Level 18,,"|x:3163,y:3726"
Zombie,6597,6597,3167,3743,0,region_wilderness,1,Zombie#Level 18,,"|x:3167,y:3743"
Zombie,6596,6596,3170,3743,0,region_wilderness,1,Zombie#Level 18,,"|x:3170,y:3743"
Zombie,6597,6597,3173,3728,0,region_wilderness,1,Zombie#Level 18,,"|x:3173,y:3728"
Zombie,6598,6598,3174,3737,0,region_wilderness,1,Zombie#Level 18,,"|x:3174,y:3737"
Zombie,6596,6596,3177,3729,0,region_wilderness,1,Zombie#Level 18,,"|x:3177,y:3729"
Zombie,6598,6598,3177,3733,0,region_wilderness,1,Zombie#Level 18,,"|x:3177,y:3733"
Zombie,45,45,3152,3674,0,region_wilderness,1,Zombie#Level 18,,"|x:3152,y:3674"
Zombie,47,47,3153,3658,0,region_wilderness,1,Zombie#Level 18,,"|x:3153,y:3658"
Zombie,47,47,3157,3681,0,region_wilderness,1,Zombie#Level 18,,"|x:3157,y:3681"
Zombie,46,46,3158,3676,0,region_wilderness,1,Zombie#Level 18,,"|x:3158,y:3676"
Zombie,47,47,3164,3682,0,region_wilderness,1,Zombie#Level 18,,"|x:3164,y:3682"
Zombie,45,45,3165,3672,0,region_wilderness,1,Zombie#Level 18,,"|x:3165,y:3672"
Zombie,48,48,3165,3678,0,region_wilderness,1,Zombie#Level 18,,"|x:3165,y:3678"
Zombie,46,46,3166,3663,0,region_wilderness,1,Zombie#Level 18,,"|x:3166,y:3663"
Zombie,45,45,3167,3686,0,region_wilderness,1,Zombie#Level 18,,"|x:3167,y:3686"
Zombie,46,46,3168,3684,0,region_wilderness,1,Zombie#Level 18,,"|x:3168,y:3684"
Zombie,46,46,3169,3688,0,region_wilderness,1,Zombie#Level 18,,"|x:3169,y:3688"
Zombie,46,46,3170,3672,0,region_wilderness,1,Zombie#Level 18,,"|x:3170,y:3672"
Zombie,45,45,3172,3669,0,region_wilderness,1,Zombie#Level 18,,"|x:3172,y:3669"
Zombie,48,48,3175,3665,0,region_wilderness,1,Zombie#Level 18,,"|x:3175,y:3665"
Zombie,48,48,3180,3669,0,region_wilderness,1,Zombie#Level 18,,"|x:3180,y:3669"
Zombie,42,42,3139,9885,0,region_misthalin,1,Zombie#Level 18,,"|x:3139,y:9885"
Zombie,43,43,3140,9893,0,region_misthalin,1,Zombie#Level 18,,"|x:3140,y:9893"
Zombie,43,43,3143,9904,0,region_misthalin,1,Zombie#Level 18,,"|x:3143,y:9904"
Zombie,42,42,3146,9892,0,region_misthalin,1,Zombie#Level 18,,"|x:3146,y:9892"
Zombie,43,43,3147,9883,0,region_misthalin,1,Zombie#Level 18,,"|x:3147,y:9883"
Zombie,42,42,3147,9899,0,region_misthalin,1,Zombie#Level 18,,"|x:3147,y:9899"
Zombie,44,44,3148,9904,0,region_misthalin,1,Zombie#Level 18,,"|x:3148,y:9904"
Zombie,44,44,3150,9889,0,region_misthalin,1,Zombie#Level 18,,"|x:3150,y:9889"
Zombie,42,42,3150,9907,0,region_misthalin,1,Zombie#Level 18,,"|x:3150,y:9907"
Zombie,44,44,3151,9884,0,region_misthalin,1,Zombie#Level 18,,"|x:3151,y:9884"
Zombie,29,29,2533,9842,0,region_kandarin,1,Zombie#Level 13,,"|x:2533,y:9842"
Zombie,26,26,2540,9823,0,region_kandarin,1,Zombie#Level 13,,"|x:2540,y:9823"
Zombie,30,30,2540,9843,0,region_kandarin,1,Zombie#Level 13,,"|x:2540,y:9843"
Zombie,26,26,2452,9684,0,region_tirannwn,1,Zombie#Level 13,,"|x:2452,y:9684"
Zombie,28,28,2453,9680,0,region_tirannwn,1,Zombie#Level 13,,"|x:2453,y:9680"
Zombie,30,30,2455,9677,0,region_tirannwn,1,Zombie#Level 13,,"|x:2455,y:9677"
Zombie,27,27,2394,9707,0,region_tirannwn,1,Zombie#Level 13,,"|x:2394,y:9707"
Zombie,29,29,2398,9704,0,region_tirannwn,1,Zombie#Level 13,,"|x:2398,y:9704"
Zombie,31,31,2400,9701,0,region_tirannwn,1,Zombie#Level 13,,"|x:2400,y:9701"
Zombie,26,26,2405,9713,0,region_tirannwn,1,Zombie#Level 13,,"|x:2405,y:9713"
Zombie,28,28,2410,9707,0,region_tirannwn,1,Zombie#Level 13,,"|x:2410,y:9707"
Zombie,32,32,2499,3286,0,region_kandarin,1,Zombie#Level 13,,"|x:2499,y:3286"
Zombie,34,34,2500,3283,0,region_kandarin,1,Zombie#Level 13,,"|x:2500,y:3283"
Zombie,37,37,2506,3284,0,region_kandarin,1,Zombie#Level 13,,"|x:2506,y:3284"
Zombie,38,38,3119,9647,0,region_misthalin,1,Zombie#Level 13,,"|x:3119,y:9647"
Zombie,40,40,3124,9651,0,region_misthalin,1,Zombie#Level 13,,"|x:3124,y:9651"
Zombie,41,41,3243,9893,0,region_misthalin,1,Zombie#Level 13,,"|x:3243,y:9893"
Zombie,39,39,3259,9891,0,region_misthalin,1,Zombie#Level 13,,"|x:3259,y:9891"
Zombie,27,27,2605,4449,0,region_kandarin,1,Zombie#Level 13,,"|x:2605,y:4449"
Zombie,28,28,2612,4447,0,region_kandarin,1,Zombie#Level 13,,"|x:2612,y:4447"
Zombie,39,39,3086,9674,0,region_misthalin,1,Zombie#Level 13,,"|x:3086,y:9674"
Zombie,26,26,2541,9569,0,region_kandarin,1,Zombie#Level 13,,"|x:2541,y:9569"
Zombie,28,28,2548,9567,0,region_kandarin,1,Zombie#Level 13,,"|x:2548,y:9567"
Zombie swab,624,624,2161,5071,0,region_morytania,1,Zombie swab#6,,"|x:2161,y:5071"
Zombie swab,623,623,2144,5071,0,region_morytania,1,Zombie swab#5,,"|x:2144,y:5071"
Zombie swab,622,622,2158,5071,0,region_morytania,1,Zombie swab#4,,"|x:2158,y:5071"
Zombie swab,621,621,2153,5071,0,region_morytania,1,Zombie swab#3,,"|x:2153,y:5071"
Zombie swab,620,620,2147,5071,0,region_morytania,1,Zombie swab#2,,"|x:2147,y:5071"
Zombie swab,619,619,2152,5073,0,region_morytania,1,Zombie swab#1,,"|x:2152,y:5073"
Zombie rat,3971,3971,2925,3256,0,region_asgarnia,1,Zombie rat#3,,"|x:2925,y:3256"
Zombie rat,3971,3971,2931,3249,0,region_asgarnia,1,Zombie rat#3,,"|x:2931,y:3249"
Zombie rat,3971,3971,2933,3244,0,region_asgarnia,1,Zombie rat#3,,"|x:2933,y:3244"
Zombie rat,3971,3971,2935,3248,0,region_asgarnia,1,Zombie rat#3,,"|x:2935,y:3248"
Zombie rat,3970,3970,2928,3244,0,region_asgarnia,1,Zombie rat#2,,"|x:2928,y:3244"
Zombie rat,3970,3970,2934,3254,0,region_asgarnia,1,Zombie rat#2,,"|x:2934,y:3254"
Zombie rat,3969,3969,2930,3252,0,region_asgarnia,1,Zombie rat#1,,"|x:2930,y:3252"
Zombie pirate,567,567,3815,2859,0,region_morytania,1,Zombie pirate#9,,"|x:3815,y:2859"
Zombie pirate,566,566,3819,9253,1,region_morytania,1,Zombie pirate#8,,"|x:3819,y:9253"
Zombie pirate,565,565,3827,2833,0,region_morytania,1,Zombie pirate#8,,"|x:3827,y:2833"
Zombie pirate,564,564,3797,9253,1,region_morytania,1,Zombie pirate#7,,"|x:3797,y:9253"
Zombie pirate,563,563,3811,2826,0,region_morytania,1,Zombie pirate#7,,"|x:3811,y:2826"
Zombie pirate,618,618,2143,5078,0,region_morytania,1,Zombie pirate#6,,"|x:2143,y:5078"
Zombie pirate,618,618,2158,5076,0,region_morytania,1,Zombie pirate#6,,"|x:2158,y:5076"
Zombie pirate,617,617,2148,5078,0,region_morytania,1,Zombie pirate#5,,"|x:2148,y:5078"
Zombie pirate,617,617,2162,5079,0,region_morytania,1,Zombie pirate#5,,"|x:2162,y:5079"
Zombie pirate,616,616,2148,5080,0,region_morytania,1,Zombie pirate#4,,"|x:2148,y:5080"
Zombie pirate,616,616,2160,5078,0,region_morytania,1,Zombie pirate#4,,"|x:2160,y:5078"
Zombie pirate,599,599,3803,2848,0,region_morytania,1,Zombie pirate#32,,"|x:3803,y:2848"
Zombie pirate,598,598,3823,9254,1,region_morytania,1,Zombie pirate#31,,"|x:3823,y:9254"
Zombie pirate,596,596,3805,9255,1,region_morytania,1,Zombie pirate#30,,"|x:3805,y:9255"
Zombie pirate,595,595,3794,2874,2,region_morytania,1,Zombie pirate#30,,"|x:3794,y:2874"
Zombie pirate,615,615,2145,5080,0,region_morytania,1,Zombie pirate#3,,"|x:2145,y:5080"
Zombie pirate,615,615,2158,5079,0,region_morytania,1,Zombie pirate#3,,"|x:2158,y:5079"
Zombie pirate,594,594,3817,9259,1,region_morytania,1,Zombie pirate#29,,"|x:3817,y:9259"
Zombie pirate,593,593,3805,2874,1,region_morytania,1,Zombie pirate#29,,"|x:3805,y:2874"
Zombie pirate,592,592,3804,2873,0,region_morytania,1,Zombie pirate#28,,"|x:3804,y:2873"
Zombie pirate,591,591,3814,9250,1,region_morytania,1,Zombie pirate#27,,"|x:3814,y:9250"
Zombie pirate,590,590,3794,2873,0,region_morytania,1,Zombie pirate#27,,"|x:3794,y:2873"
Zombie pirate,589,589,3799,9247,1,region_morytania,1,Zombie pirate#26,,"|x:3799,y:9247"
Zombie pirate,587,587,3798,9258,1,region_morytania,1,Zombie pirate#25,,"|x:3798,y:9258"
Zombie pirate,585,585,3809,9253,1,region_morytania,1,Zombie pirate#24,,"|x:3809,y:9253"
Zombie pirate,584,584,3800,2835,0,region_morytania,1,Zombie pirate#24,,"|x:3800,y:2835"
Zombie pirate,583,583,3792,9254,1,region_morytania,1,Zombie pirate#23,,"|x:3792,y:9254"
Zombie pirate,581,581,3803,2872,1,region_morytania,1,Zombie pirate#22,,"|x:3803,y:2872"
Zombie pirate,580,580,3792,2830,0,region_morytania,1,Zombie pirate#21,,"|x:3792,y:2830"
Zombie pirate,614,614,2142,5081,0,region_morytania,1,Zombie pirate#2,,"|x:2142,y:5081"
Zombie pirate,614,614,2156,5078,0,region_morytania,1,Zombie pirate#2,,"|x:2156,y:5078"
Zombie pirate,578,578,3795,2845,0,region_morytania,1,Zombie pirate#19,,"|x:3795,y:2845"
Zombie pirate,576,576,3796,2858,0,region_morytania,1,Zombie pirate#17,,"|x:3796,y:2858"
Zombie pirate,575,575,3799,2855,0,region_morytania,1,Zombie pirate#16,,"|x:3799,y:2855"
Zombie pirate,574,574,3817,2824,0,region_morytania,1,Zombie pirate#15,,"|x:3817,y:2824"
Zombie pirate,573,573,3824,2857,0,region_morytania,1,Zombie pirate#14,,"|x:3824,y:2857"
Zombie pirate,572,572,3810,2833,0,region_morytania,1,Zombie pirate#13,,"|x:3810,y:2833"
Zombie pirate,571,571,3803,2843,0,region_morytania,1,Zombie pirate#12,,"|x:3803,y:2843"
Zombie pirate,570,570,3803,9249,1,region_morytania,1,Zombie pirate#11,,"|x:3803,y:9249"
Zombie pirate,569,569,3784,2843,0,region_morytania,1,Zombie pirate#11,,"|x:3784,y:2843"
Zombie pirate,568,568,3793,2851,0,region_morytania,1,Zombie pirate#10,,"|x:3793,y:2851"
Zombie pirate,613,613,2141,5083,0,region_morytania,1,Zombie pirate#1,,"|x:2141,y:5083"
Zombie pirate,613,613,2155,5080,0,region_morytania,1,Zombie pirate#1,,"|x:2155,y:5080"
Zombie,5647,5647,2087,5045,0,region_morytania,1,Zombie (Temple Trekking),,"|x:2087,y:5045"
Zombie,6464,6464,3170,4559,1,region_morytania,1,Zombie (Tarn's Lair)#Level 98,,"|x:3170,y:4559"
Zombie,6463,6463,3141,4547,1,region_morytania,1,Zombie (Tarn's Lair)#Level 95,,"|x:3141,y:4547"
Zombie,6462,6462,3159,4603,1,region_morytania,1,Zombie (Tarn's Lair)#Level 90,,"|x:3159,y:4603"
Zombie,6461,6461,3163,4559,0,region_morytania,1,Zombie (Tarn's Lair)#Level 86,,"|x:3163,y:4559"
Zombie,6461,6461,3146,4565,1,region_morytania,1,Zombie (Tarn's Lair)#Level 86,,"|x:3146,y:4565"
Zombie,6461,6461,3195,4582,1,region_morytania,1,Zombie (Tarn's Lair)#Level 86,,"|x:3195,y:4582"
Zombie,6460,6460,3143,4555,0,region_morytania,1,Zombie (Tarn's Lair)#Level 85,,"|x:3143,y:4555"
Zombie,6460,6460,3144,4549,1,region_morytania,1,Zombie (Tarn's Lair)#Level 85,,"|x:3144,y:4549"
Zombie,6460,6460,3190,4587,1,region_morytania,1,Zombie (Tarn's Lair)#Level 85,,"|x:3190,y:4587"
Zombie,6460,6460,3186,4576,2,region_morytania,1,Zombie (Tarn's Lair)#Level 85,,"|x:3186,y:4576"
Zombie,6466,6466,3190,4561,0,region_morytania,1,Zombie (Tarn's Lair)#Level 81,,"|x:3190,y:4561"
Zombie,6459,6459,3141,4557,0,region_morytania,1,Zombie (Tarn's Lair)#Level 80,,"|x:3141,y:4557"
